id,state,year,deaths,lat,long,createdAt,updatedAt
228,UT,2018,7836,39.4192,-111.951,,
229,UT,2019,6984,39.4192,-111.951,,
230,VA,2015,11819,37.6814,-97.2747,,
231,VA,2016,14327,37.6814,-97.2747,,
232,VA,2017,17070,37.6814,-97.2747,,
233,VA,2018,17155,37.6814,-97.2747,,
234,VA,2019,17822,37.6814,-97.2747,,
235,VT,2015,1094,44.5588,-72.5778,,
236,VT,2016,1363,44.5588,-72.5778,,
237,VT,2017,1633,44.5588,-72.5778,,
238,VT,2018,1614,44.5588,-72.5778,,
239,VT,2019,1615,44.5588,-72.5778,,
240,WA,2015,12643,47.7511,-120.74,,
241,WA,2016,13830,47.7511,-120.74,,
242,WA,2017,13223,47.7511,-120.74,,
243,WA,2018,14024,47.7511,-120.74,,
244,WA,2019,14445,47.7511,-120.74,,
245,WI,2015,10378,43.7844,-88.7879,,
246,WI,2016,11926,43.7844,-88.7879,,
247,WI,2017,13577,43.7844,-88.7879,,
248,WI,2018,13474,43.7844,-88.7879,,
249,WI,2019,13618,43.7844,-88.7879,,
250,WV,2015,8230,38.5976,-80.4549,,
251,WV,2016,9617,38.5976,-80.4549,,
252,WV,2017,11836,38.5976,-80.4549,,
253,WV,2018,10965,38.5976,-80.4549,,
254,WV,2019,10046,38.5976,-80.4549,,
255,WY,2015,1229,43.076,-107.29,,
256,WY,2016,1138,43.076,-107.29,,
257,WY,2017,871,43.076,-107.29,,
258,WY,2018,763,43.076,-107.29,,
259,WY,2019,797,43.076,-107.29,,
